"","species"
"721","Marquesan Swiftlet"
"722","Black-nest Swiftlet"
"723","Edible-nest Swiftlet"
"724","Germain's Swiftlet"
"725","Three-toed Swiftlet"
"726","Scarce Swift"
"727","Philippine Spine-tailed Swift"
"728","Papuan Spine-tailed Swift"
"729","Madagascar Spinetail"
"730","Sao Tome Spinetail"
"731","White-rumped Spinetail"
"732","Mottled Spinetail"
"733","Black Spinetail"
"734","Silver-rumped Spinetail"
"735","Sabine's Spinetail"
"736","Cassin's Spinetail"
"737","Böhm's Spinetail"
"738","White-throated Needletail"
"739","Silver-backed Needletail"
"740","Brown-backed Needletail"
"741","Purple Needletail"
"742","Grey-rumped Swift"
"743","Band-rumped Swift"
"744","Lesser Antillean Swift"
"745","Costa Rican Swift"
"746","Pale-rumped Swift"
"747","Chimney Swift"
"748","Vaux's Swift"
"749","Chapman's Swift"
"750","Ashy-tailed Swift"
"751","Sick's Swift"
"752","Short-tailed Swift"
"753","White-throated Swift"
"754","White-tipped Swift"
"755","Andean Swift"
"756","Antillean Palm Swift"
"757","Pygmy Palm Swift"
"758","Neotropical Palm Swift"
"759","Great Swallow-tailed Swift"
"760","Lesser Swallow-tailed Swift"
"761","African Palm Swift"
"762","Malagasy Palm Swift"
"763","Asian Palm Swift"
"764","Alpine Swift"
"765","Mottled Swift"
"766","Cape Verde Swift"
"767","Common Swift"
"768","Plain Swift"
"769","Nyanza Swift"
"770","Pallid Swift"
"771","African Black Swift"
"772","Malagasy Black Swift"
"773","Fernando Po Swift"
"774","Forbes-Watson's Swift"
"775","Bradfield's Swift"
"776","Pacific Swift"
"777","Salim Ali's Swift"
"778","Blyth's Swift"
"779","Cook's Swift"
"780","Dark-rumped Swift"
"781","Little Swift"
"782","House Swift"
"783","Horus Swift"
"784","White-rumped Swift"
"785","Bates's Swift"
"786","Crimson Topaz"
"787","Fiery Topaz"
"788","White-necked Jacobin"
"789","Black Jacobin"
"790","White-tipped Sicklebill"
"791","Buff-tailed Sicklebill"
"792","Saw-billed Hermit"
"793","Hook-billed Hermit"
"794","Bronzy Hermit"
"795","Rufous-breasted Hermit"
"796","Band-tailed Barbthroat"
"797","Pale-tailed Barbthroat"
"798","Sooty Barbthroat"
"799","Broad-tipped Hermit"
"800","Dusky-throated Hermit"
"801","Streak-throated Hermit"
"802","Little Hermit"
"803","Tapajos Hermit"
"804","Minute Hermit"
"805","Cinnamon-throated Hermit"
"806","Black-throated Hermit"
"807","Stripe-throated Hermit"
"808","Grey-chinned Hermit"
"809","Reddish Hermit"
"810","White-browed Hermit"
"811","Buff-bellied Hermit"
"812","Sooty-capped Hermit"
"813","Planalto Hermit"
"814","Scale-throated Hermit"
"815","Pale-bellied Hermit"
"816","White-bearded Hermit"
"817","White-whiskered Hermit"
"818","Green Hermit"
"819","Tawny-bellied Hermit"
"820","Koepcke's Hermit"
"821","Needle-billed Hermit"
"822","Straight-billed Hermit"
"823","Mexican Hermit"
"824","Long-billed Hermit"
"825","Long-tailed Hermit"
"826","Great-billed Hermit"
"827","Green-fronted Lancebill"
"828","Blue-fronted Lancebill"
"829","White-throated Daggerbill"
"830","Geoffroy's Daggerbill"
"831","Hyacinth Visorbearer"
"832","Hooded Visorbearer"
"833","Brown Violetear"
"834","Mexican Violetear"
"835","Lesser Violetear"
"836","Sparkling Violetear"
"837","White-vented Violetear"
"838","Tooth-billed Hummingbird"
"839","Horned Sungem"
"840","Purple-crowned Fairy"
"841","Black-eared Fairy"
"842","White-tailed Goldenthroat"
"843","Tepui Goldenthroat"
"844","Green-tailed Goldenthroat"
"845","Fiery-tailed Awlbill"
"846","Ruby-topaz Hummingbird"
"847","Jamaican Mango"
"848","Black-throated Mango"
"849","Green-throated Mango"
"850","Green-breasted Mango"
"851","Veraguan Mango"
"852","Antillean Mango"
"853","Green Mango"
"854","Green-throated Carib"
"855","Purple-throated Carib"
"856","Orange-throated Sunangel"
"857","Amethyst-throated Sunangel"
"858","Longuemare's Sunangel"
"859","Merida Sunangel"
"860","Gorgeted Sunangel"
"861","Tourmaline Sunangel"
"862","Flame-throated Sunangel"
"863","Purple-throated Sunangel"
"864","Royal Sunangel"
"865","Green-backed Firecrown"
"866","Juan Fernandez Firecrown"
"867","Green Thorntail"
"868","Wire-crested Thorntail"
"869","Black-bellied Thorntail"
"870","Letitia's Thorntail"
"871","Racket-tailed Coquette"
"872","Tufted Coquette"
"873","Dot-eared Coquette"
"874","Frilled Coquette"
"875","Short-crested Coquette"
"876","Rufous-crested Coquette"
"877","Spangled Coquette"
"878","Festive Coquette"
"879","Butterfly Coquette"
"880","Peacock Coquette"
"881","Black-crested Coquette"
"882","White-crested Coquette"
"883","Ecuadorian Piedtail"
"884","Peruvian Piedtail"
"885","Speckled Hummingbird"
"886","Long-tailed Sylph"
"887","Violet-tailed Sylph"
"888","Venezuelan Sylph"
"889","Red-tailed Comet"
"890","Bronze-tailed Comet"
"891","Grey-bellied Comet"
"892","Andean Hillstar"
"893","White-sided Hillstar"
"894","Ecuadorian Hillstar"
"895","Blue-throated Hillstar"
"896","Green-headed Hillstar"
"897","Black-breasted Hillstar"
"898","Wedge-tailed Hillstar"
"899","Mountain Avocetbill"
"900","Black-tailed Trainbearer"
"901","Green-tailed Trainbearer"
"902","Black-backed Thornbill"
"903","Purple-backed Thornbill"
"904","Bronze-tailed Thornbill"
"905","Rainbow-bearded Thornbill"
"906","Rufous-capped Thornbill"
"907","Olivaceous Thornbill"
"908","Blue-mantled Thornbill"
"909","Buffy Helmetcrest"
"910","Blue-bearded Helmetcrest"
"911","White-bearded Helmetcrest"
"912","Green-bearded Helmetcrest"
"913","Bearded Mountaineer"
"914","Tyrian Metaltail"
"915","Perija Metaltail"
"916","Viridian Metaltail"
"917","Violet-throated Metaltail"
"918","Neblina Metaltail"
"919","Coppery Metaltail"
"920","Fiery-throated Metaltail"
"921","Scaled Metaltail"
"922","Black Metaltail"
"923","Greenish Puffleg"
"924","Buff-thighed Puffleg"
"925","Hoary Puffleg"
"926","Black-breasted Puffleg"
"927","Gorgeted Puffleg"
"928","Glowing Puffleg"
"929","Black-thighed Puffleg"
"930","Turquoise-throated Puffleg"
"931","Coppery-bellied Puffleg"
"932","Sapphire-vented Puffleg"
"933","Golden-breasted Puffleg"
"934","Blue-capped Puffleg"
"935","Colorful Puffleg"
"936","Emerald-bellied Puffleg"
"937","Marvelous Spatuletail"
"938","Shining Sunbeam"
"939","White-tufted Sunbeam"
"940","Purple-backed Sunbeam"
"941","Black-hooded Sunbeam"
"942","Bronzy Inca"
"943","Brown Inca"
"944","Black Inca"
"945","Collared Inca"
"946","Violet-throated Starfrontlet"
"947","Rainbow Starfrontlet"
"948","White-tailed Starfrontlet"
"949","Dusky Starfrontlet"
"950","Buff-winged Starfrontlet"
"951","Golden-bellied Starfrontlet"
"952","Blue-throated Starfrontlet"
"953","Mountain Velvetbreast"
"954","Sword-billed Hummingbird"
"955","Great Sapphirewing"
"956","Buff-tailed Coronet"
"957","Chestnut-breasted Coronet"
"958","Velvet-purple Coronet"
"959","White-booted Racket-tail"
"960","Peruvian Racket-tail"
"961","Rufous-booted Racket-tail"
"962","Rufous-gaped Hillstar"
"963","Green-backed Hillstar"
"964","Purple-bibbed Whitetip"
"965","Rufous-vented Whitetip"
